sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,28/02/2020,-10,-5,48,-28,-17,7
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,28/02/2020,2,1,59,-7,-16,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,28/02/2020,-5,-1,34,-33,-15,6
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,29/02/2020,-14,-4,-10,-19,-8,4
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,29/02/2020,-18,-6,-1,-15,-9,5
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,29/02/2020,-10,-4,-10,-16,-2,5
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,29/02/2020,-12,-1,3,-13,-3,5
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,29/02/2020,-8,1,-1,-8,-12,5
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,29/02/2020,-19,-5,-29,-30,-6,6
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,29/02/2020,-7,0,-4,-12,-4,5
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,29/02/2020,-11,1,-7,-25,-3,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,01/03/2020,-14,-10,0,-16,-3,2
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,01/03/2020,-17,-7,-1,-25,-6,5
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,01/03/2020,-9,-5,17,-14,0,3
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,01/03/2020,-8,6,33,-4,-2,4
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,01/03/2020,-6,-3,16,-3,-2,3
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,01/03/2020,-16,-6,7,-20,-5,4
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,01/03/2020,-3,-2,6,-5,-1,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,01/03/2020,-6,5,13,-15,-2,3
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,02/03/2020,-14,-12,-41,-29,-16,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,02/03/2020,-18,-10,-37,-32,-13,7
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,02/03/2020,-10,-5,-15,-24,-14,7
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,02/03/2020,-13,2,-28,-26,-14,7
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,02/03/2020,-13,-4,-25,-26,-14,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,02/03/2020,-20,-14,-42,-40,-16,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,02/03/2020,-15,-12,-40,-31,-15,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,02/03/2020,-15,-9,-30,-37,-13,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,03/03/2020,-3,-2,20,-19,-14,5
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,03/03/2020,-6,-1,20,-22,-11,4
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,03/03/2020,-4,-5,22,-19,-12,5
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,03/03/2020,-3,4,22,-14,-13,4
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,03/03/2020,-1,0,14,-16,-12,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,03/03/2020,-2,-1,27,-29,-14,5
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,03/03/2020,1,-1,42,-14,-13,5
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,03/03/2020,-5,6,30,-29,-12,5
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,04/03/2020,-5,-1,27,-20,-14,5
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,04/03/2020,-12,-1,25,-23,-12,5
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,04/03/2020,-5,0,6,-20,-12,5
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,04/03/2020,-3,3,24,-18,-12,4
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,04/03/2020,-2,0,13,-17,-12,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,04/03/2020,-3,-3,47,-28,-14,5
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,04/03/2020,2,0,50,-4,-13,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,04/03/2020,-3,2,46,-28,-12,4
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,05/03/2020,-14,-5,-23,-26,-15,7
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,05/03/2020,-23,-7,-27,-36,-15,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,05/03/2020,-11,-4,-38,-24,-12,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,05/03/2020,-14,6,-22,-27,-14,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,05/03/2020,-8,-1,-13,-23,-13,7
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,05/03/2020,-12,-4,-26,-37,-15,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,05/03/2020,-9,-2,-36,-22,-14,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,05/03/2020,-15,-5,-16,-37,-15,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,06/03/2020,-15,-3,0,-26,-16,8
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,06/03/2020,-19,-7,-4,-29,-16,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,06/03/2020,-11,-2,6,-21,-13,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,06/03/2020,-13,4,10,-16,-16,8
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,06/03/2020,-7,1,12,-18,-13,6
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,06/03/2020,-13,0,19,-31,-16,7
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,06/03/2020,-6,-4,23,-15,-15,7
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,06/03/2020,-13,2,14,-34,-14,7
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,07/03/2020,-18,-3,19,-20,-8,4
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,07/03/2020,-27,-9,31,-18,-10,6
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,07/03/2020,-13,-3,8,-13,-2,4
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,07/03/2020,-15,0,70,-4,-4,4
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,07/03/2020,-10,2,20,-5,-11,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,07/03/2020,-19,1,61,-13,-6,4
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,07/03/2020,-5,2,42,4,-5,4
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,07/03/2020,-12,2,49,-23,-4,4
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,08/03/2020,-33,-9,-2,-25,-6,4
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,08/03/2020,-52,-17,11,-40,-13,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,08/03/2020,-43,-5,6,-39,-5,8
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,08/03/2020,-29,0,13,-8,-5,6
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,08/03/2020,-21,-4,8,-8,-4,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,08/03/2020,-53,-1,-24,-53,-15,8
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,08/03/2020,-41,-5,-21,-28,-12,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,08/03/2020,-40,6,-11,-40,-11,8
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,09/03/2020,-30,-4,-17,-41,-24,11
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,09/03/2020,-44,-15,-34,-55,-27,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,09/03/2020,-36,-12,-28,-48,-26,15
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,09/03/2020,-29,7,-8,-31,-22,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,09/03/2020,-24,4,-9,-30,-18,9
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,09/03/2020,-39,-7,-25,-60,-26,14
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,09/03/2020,-35,-13,-14,-34,-26,13
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,09/03/2020,-37,-6,-27,-54,-27,14
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,10/03/2020,-45,-10,-19,-52,-32,17
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,10/03/2020,-47,-19,-28,-54,-29,16
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,10/03/2020,-42,-18,-16,-50,-28,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,10/03/2020,-44,-6,-13,-38,-27,15
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,10/03/2020,-38,-6,-32,-39,-23,13
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,10/03/2020,-45,-12,-29,-62,-30,16
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,10/03/2020,-42,-16,-12,-44,-29,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,10/03/2020,-44,-7,-14,-58,-29,15
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,11/03/2020,-52,-17,-15,-58,-38,20
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,11/03/2020,-51,-21,-23,-56,-33,17
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,11/03/2020,-46,-21,-32,-55,-32,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,11/03/2020,-53,-19,-15,-43,-32,18
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,11/03/2020,-48,-15,-27,-44,-28,16
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,11/03/2020,-52,-15,-26,-65,-34,17
